"","int_degs_uni"
"1403","gene6527"
"1404","gene6231"
"1405","gene4462"
"1406","gene20653"
"1407","gene838"
"1408","gene24722"
"1409","gene341"
"1410","gene11169"
"1411","gene11200"
"1412","gene20897"
"1413","gene13871"
"1414","gene21357"
"1415","gene16772"
"1416","gene20687"
"1417","gene7031"
"1418","gene24132"
"1419","gene4440"
"1420","gene785"
"1421","gene12688"
"1422","gene15973"
"1423","gene9276"
"1424","gene25902"
"1425","gene20353"
"1426","gene8241"
"1427","gene20669"
"1428","gene26715"
"1429","gene24967"
"1430","gene13410"
"1431","gene5812"
"1432","gene12200"
"1433","gene18863"
"1434","gene11916"
"1435","gene17926"
"1436","gene12089"
"1437","gene18036"
"1438","gene2216"
"1439","gene24591"
"1440","gene10888"
"1441","gene5009"
"1442","gene22953"
"1443","gene5637"
"1444","gene21202"
"1445","gene6947"
"1446","gene25582"
"1447","gene15927"
"1448","gene20171"
"1449","gene6335"
"1450","gene2143"
"1451","gene6743"
"1452","gene12471"
"1453","gene2142"
"1454","gene3329"
"1455","gene14347"
"1456","gene19910"
"1457","gene16745"
"1458","gene5735"
"1459","gene11069"
"1460","gene20384"
"1461","gene7594"
"1462","gene13681"
"1463","gene2158"
"1464","gene13448"
"1465","gene11873"
"1466","gene9302"
"1467","gene17079"
"1468","gene1268"
"1469","gene22918"
"1470","gene4008"
"1471","gene3119"
"1472","gene6564"
"1473","gene9491"
"1474","gene6189"
"1475","gene24106"
"1476","gene15864"
"1477","gene22529"
"1478","gene323"
"1479","gene9599"
"1480","gene2727"
"1481","gene658"
"1482","gene16256"
"1483","gene9600"
"1484","gene1950"
"1485","gene16494"
"1486","gene162"
"1487","gene22296"
"1488","gene14074"
"1489","gene4654"
"1490","gene13069"
"1491","gene14813"
"1492","gene10816"
"1493","gene16736"
"1494","gene3229"
"1495","gene10608"
"1496","gene521"
"1497","gene14015"
"1498","gene17768"
"1499","gene17779"
"1500","gene21527"
"1501","gene1390"
"1502","gene9466"
"1503","gene261"
