"","lun_degs_uni"
"810","gene6799"
"811","gene20940"
"812","gene14899"
"813","gene16754"
"814","gene11950"
"815","gene21744"
"816","gene20080"
"817","gene9263"
"818","gene15319"
"819","gene9260"
"820","gene17914"
"821","gene11071"
"822","gene12912"
"823","gene4259"
"824","gene12269"
"825","gene20846"
"826","gene9722"
"827","gene12898"
"828","gene16755"
"829","gene11244"
"830","gene5431"
"831","gene7245"
"832","gene20408"
"833","gene4794"
"834","gene22250"
"835","gene5707"
"836","gene5152"
"837","gene4710"
"838","gene11211"
"839","gene7038"
"840","gene5059"
"841","gene3736"
"842","gene7041"
"843","gene15927"
"844","gene17553"
"845","gene20030"
"846","gene21027"
"847","gene5859"
"848","gene21295"
"849","gene20918"
"850","gene1666"
"851","gene18469"
"852","gene7229"
"853","gene13042"
"854","gene25320"
"855","gene21020"
"856","gene551"
"857","gene261"
"858","gene24888"
"859","gene13282"
"860","gene20984"
"861","gene8219"
"862","gene10402"
"863","gene20293"
"864","gene10167"
"865","gene13999"
"866","gene14941"
"867","gene21984"
"868","gene5138"
"869","gene2562"
"870","gene18133"
"871","gene7140"
"872","gene15609"
"873","gene12250"
"874","gene163"
"875","gene23453"
"876","gene3778"
"877","gene25782"
"878","gene12870"
"879","gene4546"
"880","gene17844"
"881","gene19149"
"882","gene6127"
"883","gene23473"
"884","gene12886"
"885","gene13423"
"886","gene2046"
"887","gene2818"
"888","gene610"
"889","gene4924"
"890","gene25248"
"891","gene18061"
"892","gene2457"
"893","gene22995"
"894","gene19029"
"895","gene20831"
"896","gene25769"
"897","gene3905"
"898","gene2455"
"899","gene6047"
"900","gene15922"
"901","gene11867"
"902","gene12807"
"903","gene12952"
"904","gene16682"
"905","gene18036"
"906","gene15460"
"907","gene17741"
"908","gene26319"
"909","gene618"
"910","gene17034"
"911","gene15924"
"912","gene26763"
"913","gene26222"
"914","gene16431"
"915","gene26928"
"916","gene16089"
"917","gene17358"
"918","gene17250"
"919","gene3102"
"920","gene5251"
"921","gene12724"
"922","gene12616"
"923","gene11747"
"924","gene7475"
"925","gene2266"
"926","gene17774"
"927","gene22280"
"928","gene2408"
"929","gene24778"
"930","gene7571"
"931","gene26597"
"932","gene11915"
"933","gene23987"
"934","gene17987"
"935","gene25703"
"936","gene26493"
"937","gene17990"
"938","gene22993"
"939","gene15904"
"940","gene16326"
"941","gene16412"
"942","gene16666"
"943","gene25708"
"944","gene15911"
"945","gene26216"
"946","gene6792"
"947","gene11918"
"948","gene21958"
"949","gene465"
"950","gene21049"
"951","gene21712"
"952","gene15415"
"953","gene20911"
"954","gene18925"
"955","gene2264"
"956","gene16986"
"957","gene24012"
"958","gene26965"
"959","gene13820"
"960","gene24008"
"961","gene5629"
"962","gene17501"
"963","gene5041"
"964","gene17248"
"965","gene1780"
"966","gene6146"
"967","gene5037"
"968","gene23099"
"969","gene24821"
"970","gene25834"
"971","gene8222"
"972","gene22457"
"973","gene24601"
"974","gene18631"
"975","gene16263"
"976","gene24180"
"977","gene14030"
"978","gene16256"
"979","gene2794"
"980","gene5089"
"981","gene592"
"982","gene24668"
"983","gene1510"
"984","gene18356"
"985","id50269"
"986","gene6524"
"987","gene20563"
"988","gene22728"
"989","gene22724"
"990","gene458"
"991","gene21731"
"992","gene16891"
"993","gene2549"
"994","gene10798"
"995","gene14511"
"996","gene16404"
"997","gene18252"
"998","gene24994"
"999","gene262"
"1000","gene17933"
"1001","gene20643"
"1002","gene9929"
"1003","gene15406"
"1004","gene18802"
"1005","gene8371"
"1006","gene13278"
"1007","gene1357"
"1008","gene22519"
"1009","gene22918"
"1010","gene5270"
"1011","gene14109"
"1012","gene21746"
"1013","gene14176"
"1014","gene16522"
"1015","gene4671"
"1016","gene24225"
"1017","gene11912"
"1018","gene12816"
"1019","gene24997"
"1020","gene19858"
"1021","gene17167"
"1022","gene25693"
"1023","gene2629"
"1024","gene16521"
"1025","gene11284"
"1026","gene351"
"1027","gene21123"
"1028","gene25727"
"1029","gene582"
"1030","gene1890"
"1031","gene3115"
"1032","gene12476"
"1033","gene4417"
"1034","gene11155"
"1035","gene3322"
"1036","gene25071"
"1037","gene969"
"1038","gene19045"
"1039","gene23906"
"1040","gene24722"
"1041","gene2968"
"1042","gene16709"
"1043","gene11225"
"1044","gene7141"
"1045","gene1306"
"1046","gene20565"
"1047","gene15467"
"1048","gene1694"
"1049","gene446"
"1050","gene9456"
"1051","gene25672"
"1052","gene2148"
"1053","gene5918"
"1054","gene5999"
"1055","gene23470"
"1056","gene11636"
"1057","gene18013"
"1058","gene9276"
"1059","gene1814"
"1060","gene13403"
"1061","gene13568"
"1062","gene25957"
"1063","gene23872"
"1064","gene11336"
"1065","gene12977"
"1066","gene21875"
"1067","gene22524"
"1068","gene2494"
"1069","gene20088"
"1070","gene24401"
"1071","gene17610"
"1072","gene15256"
"1073","gene22283"
"1074","gene19935"
"1075","gene26469"
"1076","gene14748"
"1077","gene15033"
"1078","gene21076"
"1079","gene9307"
"1080","gene9334"
"1081","gene18010"
"1082","gene5182"
"1083","gene18512"
"1084","gene1163"
"1085","gene15067"
"1086","gene3958"
"1087","gene2510"
"1088","gene7106"
"1089","gene6978"
"1090","gene4429"
"1091","gene3564"
"1092","gene7026"
"1093","gene10866"
"1094","gene24949"
"1095","gene10483"
"1096","gene17813"
"1097","gene24106"
"1098","gene19910"
"1099","gene18722"
"1100","gene25918"
"1101","gene4617"
"1102","gene5783"
"1103","gene21025"
"1104","gene1046"
"1105","gene2933"
"1106","gene11563"
"1107","gene16411"
"1108","gene21918"
"1109","gene1110"
"1110","gene2380"
"1111","gene2362"
"1112","gene8296"
"1113","gene2158"
"1114","gene18167"
"1115","gene14211"
"1116","gene26124"
"1117","gene16782"
"1118","gene771"
"1119","gene24552"
"1120","gene14447"
"1121","gene4366"
"1122","gene18670"
"1123","gene7209"
"1124","gene21697"
"1125","gene18115"
"1126","gene1353"
"1127","gene16517"
"1128","gene14767"
"1129","gene17088"
"1130","gene21707"
"1131","gene16614"
"1132","gene2524"
"1133","gene6865"
"1134","gene20865"
"1135","gene18113"
"1136","gene6128"
"1137","gene16533"
"1138","gene9960"
"1139","gene24783"
"1140","gene3538"
"1141","gene5579"
"1142","gene24614"
"1143","gene25186"
"1144","gene4708"
"1145","gene12904"
"1146","gene16304"
"1147","gene18623"
"1148","gene3548"
"1149","gene6459"
"1150","gene427"
"1151","gene20752"
"1152","gene3600"
"1153","gene1425"
"1154","gene1689"
"1155","gene17322"
"1156","gene2326"
"1157","gene3101"
"1158","gene6306"
"1159","gene6452"
"1160","gene16066"
"1161","gene464"
"1162","gene16162"
"1163","gene7066"
"1164","gene10265"
"1165","gene10686"
"1166","gene20355"
"1167","gene5797"
"1168","gene17166"
"1169","gene2014"
"1170","gene16493"
"1171","gene23188"
"1172","gene5308"
"1173","gene88"
"1174","gene4289"
"1175","gene5352"
"1176","gene17953"
"1177","gene12701"
"1178","gene15653"
"1179","gene18213"
"1180","gene2493"
"1181","gene21921"
"1182","gene3592"
"1183","gene16796"
"1184","gene17809"
"1185","gene2603"
"1186","gene8217"
"1187","gene1509"
"1188","gene15100"
"1189","gene11374"
"1190","gene15661"
"1191","gene20879"
"1192","gene1579"
"1193","gene2821"
"1194","gene21022"
"1195","gene1819"
"1196","gene4565"
"1197","gene22409"
"1198","gene14910"
"1199","gene1805"
"1200","gene4438"
"1201","gene18474"
"1202","gene10231"
"1203","gene22112"
"1204","gene17544"
"1205","gene19239"
"1206","gene23210"
"1207","gene19264"
"1208","gene24266"
"1209","gene16350"
"1210","gene13334"
"1211","gene824"
"1212","gene18352"
"1213","gene20049"
"1214","gene19141"
"1215","gene19853"
"1216","gene9600"
"1217","gene11183"
"1218","gene591"
"1219","gene9601"
"1220","gene14300"
"1221","gene15663"
"1222","gene16668"
"1223","gene8385"
"1224","gene19047"
"1225","gene14608"
"1226","gene16861"
"1227","gene5381"
"1228","gene13248"
"1229","gene18741"
"1230","gene26670"
"1231","gene147"
"1232","gene16667"
"1233","gene8384"
"1234","gene23975"
"1235","gene6470"
"1236","gene10747"
"1237","gene21911"
"1238","gene15664"
"1239","gene4465"
"1240","gene5702"
"1241","gene21805"
"1242","gene13539"
"1243","gene15831"
"1244","gene6296"
"1245","gene12145"
"1246","gene4506"
"1247","gene4726"
"1248","gene19902"
"1249","gene16618"
"1250","gene1118"
"1251","gene1824"
"1252","gene4226"
"1253","gene2761"
"1254","gene21487"
"1255","gene6213"
"1256","gene1426"
"1257","gene14190"
"1258","gene1165"
"1259","gene23914"
"1260","gene932"
"1261","gene9552"
"1262","gene5528"
"1263","gene7468"
"1264","gene10497"
"1265","gene11349"
"1266","gene22452"
"1267","gene25109"
"1268","gene12103"
"1269","gene4354"
"1270","gene1498"
"1271","gene5192"
"1272","gene5248"
"1273","gene1488"
"1274","gene16822"
"1275","gene10804"
"1276","gene17828"
"1277","gene15447"
"1278","gene13597"
"1279","gene3843"
"1280","gene17909"
"1281","gene7047"
"1282","gene9586"
"1283","gene10175"
"1284","gene4942"
"1285","gene2748"
"1286","gene1651"
"1287","gene4352"
"1288","gene10981"
