"","mus_degs_uni"
"997","gene16250"
"998","gene3564"
"999","gene860"
"1000","gene129"
"1001","gene7245"
"1002","gene3339"
"1003","gene14036"
"1004","gene7050"
"1005","gene1762"
"1006","gene23080"
"1007","gene11560"
"1008","gene14149"
"1009","gene19203"
"1010","gene3779"
"1011","gene2907"
"1012","gene11726"
"1013","gene11753"
"1014","gene12259"
"1015","gene14682"
"1016","gene3781"
"1017","gene20544"
"1018","gene13755"
"1019","gene3107"
"1020","gene2898"
"1021","gene12347"
"1022","gene8259"
"1023","gene13283"
"1024","gene17744"
"1025","gene2066"
"1026","gene2402"
"1027","gene20336"
"1028","gene14925"
"1029","gene24941"
"1030","gene5422"
"1031","gene18337"
"1032","gene21212"
"1033","gene13383"
"1034","gene21248"
"1035","gene15071"
"1036","gene13362"
"1037","gene20342"
"1038","gene26355"
"1039","gene23439"
"1040","gene13873"
"1041","gene24243"
"1042","gene9252"
"1043","gene12055"
"1044","gene24129"
"1045","gene11085"
"1046","gene24737"
"1047","gene2216"
"1048","gene11075"
"1049","gene4694"
"1050","gene5764"
"1051","gene13313"
"1052","gene24513"
"1053","gene3245"
"1054","gene21921"
"1055","gene18303"
"1056","gene19689"
"1057","gene13461"
"1058","gene24110"
"1059","gene21057"
"1060","gene10930"
"1061","gene2133"
"1062","gene15909"
"1063","gene11394"
"1064","gene12169"
"1065","gene21770"
"1066","gene4143"
"1067","gene21158"
"1068","gene25549"
"1069","gene21012"
"1070","gene23555"
"1071","gene5316"
"1072","gene9271"
"1073","gene24375"
"1074","gene13699"
"1075","gene6311"
"1076","gene22466"
"1077","gene9917"
"1078","gene10018"
"1079","gene6031"
"1080","gene15672"
"1081","gene3783"
"1082","gene24381"
"1083","gene2382"
"1084","gene13150"
"1085","gene12636"
"1086","gene20878"
"1087","gene3388"
"1088","gene6113"
"1089","gene4152"
"1090","gene11298"
"1091","gene21449"
"1092","gene25727"
"1093","gene2642"
"1094","gene2944"
"1095","gene10293"
"1096","gene22778"
"1097","gene20832"
"1098","gene16786"
"1099","gene21301"
"1100","gene26009"
"1101","gene19625"
"1102","gene17312"
"1103","gene4804"
"1104","gene3516"
"1105","gene20850"
"1106","gene26710"
"1107","gene17743"
"1108","gene25576"
"1109","gene26002"
"1110","gene15318"
"1111","gene20183"
"1112","gene18754"
"1113","gene24736"
"1114","gene4740"
"1115","gene23437"
"1116","gene10503"
"1117","gene10663"
"1118","gene9072"
"1119","gene19183"
"1120","gene23127"
"1121","gene13612"
"1122","gene14092"
"1123","gene6946"
"1124","gene12224"
"1125","gene22412"
"1126","gene20602"
"1127","gene8075"
"1128","gene3795"
"1129","gene11564"
"1130","gene22266"
"1131","gene6501"
"1132","gene15522"
"1133","gene13188"
"1134","gene25856"
"1135","gene12741"
"1136","gene12251"
"1137","gene10345"
"1138","gene2713"
"1139","gene21066"
"1140","gene25236"
"1141","gene19286"
"1142","gene23059"
"1143","gene24015"
"1144","gene23473"
"1145","gene20666"
"1146","gene22365"
"1147","gene23271"
"1148","gene2849"
"1149","gene17741"
"1150","gene23246"
"1151","gene26778"
